ID;Вода,г;белки,г;жиры,г;НЖК,г;ПНЖК,г;Холестерин,г;Моно-дисахариды,г;Крахмал,г;Углеводы,г;Пищ.волокна,г;Орг.кислоты,г;Зола,г;Na (натрий),мг;K (калий),мг;Ca (кальций),мг;Mg (магний),мг;P,мг;Fe (железо),мг;A,мкг;Бета-каротин,мкг;Ретиноловый эквивалент,мкг;Токоферолэквивалент,мкг;B1,мг;B2,мг;PP,мг;Ниациновый эквивалент,мкг;C,мкг;Алкоголь,%;ЭЦ,ккал
54-502-005-01;4909,415745;511101,0509;1133703,933;647052,8725;1469,058799;20177,01191;295038,6598;1039331,476;134671,957;532519,7616;1378472,729;711012,675;44835,59153;17421,05032;22170,15518;35161,06956;16768,93573;797675,4004;7627,250195;6686,805308;26276,24155;1377968,196;11042229,8;7877588,386;1093769,569;508597,1845;78585,75387;4766,666667;8893,860164
54-103-053-01;7536,818131;945990,3556;772691,492;829687,5802;7485,321605;22108,85365;404818,5445;679285,5221;188054,2348;195571,0365;1286769,592;1584482,046;77059,37321;64600,17974;28843,32975;49471,45955;28080,09505;1160647,156;9113,902037;6344,39569;29768,01104;716784,0788;8342255,073;6628529,418;1265719,951;483048,4689;101795,5447;0;11890,0317
54-502-009-02;6245,130756;850669,2248;739646,3469;576810,5266;1704,151047;14776,03035;286658,0816;689078,4028;147683,7657;387807,987;1034361,323;1394551,801;79089,47874;65709,08566;30289,57413;51680,46087;24362,2873;707272,0414;6322,218368;3282,010577;13262,61454;1211054,313;10382157,2;8288768,659;669219,1168;392623,2874;80858,71841;49198,15128;8765,08119
54-502-010-01;12398,10582;924903,4582;849743,6224;958864,6352;2795,788081;32625,6163;259505,2867;563415,9838;150268,6227;341438,8459;1639579,094;1541251,226;83297,23889;65287,74988;32588,5873;61471,4225;28543,16219;1770995,048;15032,02422;17755,20543;29805,29115;1151426,228;13019635,52;10109581;1834122,252;683594,9674;201952,0339;42900;10506,80514
54-503-014-01;6615,608434;764406,2516;551486,4718;402898,5753;2324,646153;14417,52791;275676,4825;510690,6151;172636,9327;170052,2008;664525,6995;1354535,961;77754,01017;82015,08115;22294,95314;47217,41389;22091,7259;688513,7077;7151,628158;4156,389681;12682,53838;718614,2632;5637497,863;5112286,445;622269,1885;298170,7392;58265,13524;0;6912,527036
54-503-019-01;6132,647194;1320732,302;754313,6286;489156,1112;3629,757576;17916,31439;109251,9488;502626,0717;63016,25151;174833,3289;1062806,792;1685223,956;124703,8559;42633,19611;29946,84226;61092,89437;37655,38317;1330152,887;8806,500117;5564,973589;22794,93998;770074,9282;7738767,526;6440436,05;1414074,921;463456,8343;113443,328;42991,36364;9744,267018
54-503-022-01;6063,109901;444548,3727;653825,8292;618966,9776;2860;14995,69553;119135,7652;426058,2637;53635,32557;170453,3238;886982,9946;954636,1205;40373,93954;60261,62887;16569,8463;34202,25021;15685,42246;934924,9841;6383,539567;4572,788579;18505,97055;642040,8856;7579062,711;6046203,068;1018287,386;391012,2377;128410,568;14300;6150,594773
54-103-052-01;6653,387613;989919,6553;1062335,969;604983,9442;1175,947115;13167,52819;435128,8189;773999,9568;244761,7761;293348,8041;1135989,102;1474868,343;79970,95384;39866,1304;29976,55997;46107,21904;32747,42834;943301,0849;7201,783892;4997,520054;21977,91874;1096326,431;8440416,779;7284125,727;1050034,352;528908,6571;88049,72296;47686,78679;11914,28544
54-502-002-01;7921,175662;1318779,89;1693804,548;1406277,594;3600,994579;7641,22544;790937,299;1904834,899;414186,6769;333518,5499;1420207,353;2086580,888;92798,59942;45825,69515;42958,44748;52719,37418;42123,38656;654922,9196;4290,913218;4651,110687;24782,74688;1340184,682;12488124,75;10090545,79;1272933,301;823387,0936;70469,49445;100719,4886;19948,63465
54-503-015-01;4661,067864;326420,7112;497064,3863;584356,0439;953,3333333;11545,73888;352468,508;445249,2678;177697,0101;286709,0339;1022094,135;533929,7661;19729,68227;13064,92998;17497,80052;23263,52307;10989,26936;583570,5764;4986,227172;4087,072131;17400,73832;896439,285;7772497,171;6487833,291;757146,6493;356632,2609;112693,0329;0;6624,792877
